FID,Country,Observation,Evidence,Total_no,Location_Name,Description,Source,Contributor,Assessment_Year,WebLink,Lat,Long,Closest_Lat,Closest_Long,Combined_Lat,Combined_Long,Comments,Data_Sensitivity,Data Request Info
15030,South Africa,Spoor,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.324773,20.543561, , ,-26.324773,20.543561,SM,medium,
15031,South Africa,Tourist record,Photo,3,Kgalagadi Transfrontier Parkand surrounding areas,6km from AC,Tourist photos,MGL Mills,2014,NA, , ,-26.185,20.544,-26.185,20.544,Female with cubs,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15032,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Park,none,Google Earth Panoramio,K Malloy,2014,http://www.panoramio.com/photo/111557361,-26.178333,20.544167, , ,-26.178333,20.544167, ,low - published online,
15033,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,AC/GP,Tourist photos,MGL Mills,2011,NA,-26.182638,20.544435, , ,-26.182638,20.544435,Single male,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15034,South Africa,Direct observation,telemetry + direct observation,0,Kgalagadi Transfrontier Parkand surrounding areas, ,expert tracking and collared data,MGL Mills,2010,NA,-26.185977,20.544625, , ,-26.185977,20.544625,Single female,medium,
15035,South Africa,Tourist record,Photo,2,Kgalagadi Transfrontier Parkand surrounding areas,AC,Tourist photos,MGL Mills,2010,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Single male with single male,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15036,South Africa,Tourist record,Photo,2,Kgalagadi Transfrontier Parkand surrounding areas,AC,Tourist photos,MGL Mills,2010,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Single male with single male,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15037,South Africa,Tourist record,Photo,2,Kgalagadi Transfrontier Parkand surrounding areas,near AC,Tourist photos,MGL Mills,2010,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Single female with single male,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15038,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,AC,Tourist photos,MGL Mills,2011,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Single male,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15039,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,AC,Tourist photos,MGL Mills,2011,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Single female,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15040,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,AC picnic spot,Tourist photos,MGL Mills,2011,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Single male,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15041,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,AC picnic spot,Tourist photos,MGL Mills,2011,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Single male,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15042,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,AC,Tourist photos,MGL Mills,2011,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Single female,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15043,South Africa,Tourist record,Photo,1,Kgalagadi Transfrontier Parkand surrounding areas,AC,Tourist photos,MGL Mills,2011,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Single male,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15044,South Africa,Tourist record,Photo,2,Kgalagadi Transfrontier Parkand surrounding areas,near AC,Tourist photos,MGL Mills,2012,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Coalition,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
15045,South Africa,Tourist record,Photo,2,Kgalagadi Transfrontier Parkand surrounding areas,AC,Tourist photos,MGL Mills,2012,NA,-26.18528,20.54468, , ,-26.18528,20.54468,Coalition,medium-cheetahs ID'ed by Gus Mills from submitted tourist records,
