period,grid_x,grid_y,x,y,source_records,source_count,resistance,inside_fixed_core,within_10km_priority_path
late_2013_2016,-34,-296,-338340.9397086191,-2954854.3182826936,1,1,1.8217953691482545,1,0
late_2013_2016,-34,-295,-330525.82440567785,-2944429.089825213,3,1,2.1087872095108033,1,0
late_2013_2016,-33,-294,-324953.2825681692,-2936980.6330492496,1,1,2.008022673606873,1,0
late_2013_2016,-31,-294,-304772.1470903561,-2935359.4024282694,1,1,2.0985836892127994,1,0
late_2013_2016,-30,-294,-293334.3109414362,-2935336.4808112085,2,1,2.842808445930481,1,0
late_2013_2016,-32,-294,-318918.28667677625,-2935364.670819193,1,1,1.858318287372589,1,0
late_2013_2016,-31,-293,-303401.3700951379,-2921140.0815912783,1,1,2.2622452721595767,1,0
late_2013_2016,-31,-292,-300801.6052479416,-2919411.068806842,2,1,2.6285126056671144,1,0
late_2013_2016,-26,-292,-255156.73330702484,-2918909.8544801176,1,1,1.7974655447006225,1,0
late_2013_2016,-30,-292,-291141.6266374595,-2918022.0521734655,1,1,2.0149645881652836,1,0
late_2013_2016,-40,-291,-396457.4919939245,-2909819.617731303,1,1,2.1520226736068726,1,0
late_2013_2016,-30,-291,-296655.87559400726,-2905278.778020223,3,1,2.0287715277671814,1,0
late_2013_2016,-31,-291,-308808.3003932504,-2903354.875614062,2,1,3.089793550491333,1,0
late_2013_2016,-35,-291,-344794.81389785476,-2903110.7810427547,1,1,2.3500226736068726,1,0
late_2013_2016,-47,-291,-468977.6058540277,-2903612.8350367397,2,2,3.5110226783752445,1,0
late_2013_2016,-31,-290,-303547.14690200787,-2895923.2506420314,4,1,1.8550226736068725,1,0
late_2013_2016,-32,-290,-317516.2621849076,-2895779.9386162013,2,1,2.045962540149689,1,0
late_2013_2016,-33,-289,-326436.1280763419,-2889461.4975708723,1,1,2.0350226736068726,1,0
late_2013_2016,-28,-289,-270728.092053893,-2887391.427446395,1,1,1.9163956027030946,1,0
late_2013_2016,-32,-289,-315811.8899847963,-2886381.3289300203,1,1,2.206022673606873,1,0
late_2013_2016,-31,-289,-309645.01894831046,-2885914.508570075,1,1,2.2807577142715454,1,0
late_2013_2016,-20,-288,-198853.40531260218,-2878807.6213884056,1,1,1.695621512413025,1,0
late_2013_2016,-33,-288,-324575.4037665228,-2878490.7496227026,1,1,2.234671768665314,1,0
late_2013_2016,-30,-288,-290655.2148221102,-2878094.3636775315,1,1,1.8434662504196166,1,0
late_2013_2016,-34,-288,-330991.154700938,-2875752.590938881,2,1,2.450460168838501,1,0
late_2013_2016,-49,-288,-486361.47653116845,-2873075.868914552,4,1,1.8730226736068727,1,0
late_2013_2016,-48,-288,-475984.3816986915,-2871422.154886365,2,1,1.9540226736068727,1,0
late_2013_2016,-35,-288,-342476.7620381712,-2870829.9555351436,1,1,2.1828340959548953,1,0
late_2013_2016,-20,-287,-198836.57331254092,-2869422.8390975893,1,1,1.8527386369705199,1,0
late_2013_2016,-49,-287,-487750.275718259,-2867511.812280372,2,1,1.9270226736068725,1,0
late_2013_2016,-48,-287,-473878.8853368297,-2864562.4471060038,2,1,2.0800226736068725,1,0
late_2013_2016,-18,-287,-171803.63008736583,-2865269.147344187,2,1,1.677073441028595,1,0
late_2013_2016,-36,-287,-359501.8355931238,-2863516.374642521,1,1,2.2782154417037965,1,0
late_2013_2016,-37,-287,-362377.2131825797,-2862276.6568395495,1,1,2.1558850016593936,1,0
late_2013_2016,-37,-286,-368103.45286641055,-2859809.010861814,1,1,2.166773339748383,1,0
late_2013_2016,-17,-286,-167936.8760934809,-2857333.765809715,1,1,1.5630741176605223,1,0
late_2013_2016,-42,-286,-418990.3396494431,-2857550.0874155164,1,1,2.0440226736068725,1,0
late_2013_2016,-38,-286,-376762.09989920846,-2856052.9417766132,3,1,2.181425346851349,1,0
late_2013_2016,-43,-286,-421592.29114005744,-2854128.3385688663,1,1,2.0350226736068726,1,0
late_2013_2016,-20,-286,-198849.26949365548,-2850333.1667221785,1,1,1.6969626698493958,1,0
late_2013_2016,-47,-285,-461377.93834003276,-2849581.6775274873,1,1,1.9900226736068727,1,0
late_2013_2016,-20,-285,-198848.50600110888,-2848777.0255173743,1,1,1.7041871666908264,1,0
late_2013_2016,-49,-285,-484816.3292455744,-2845408.7090598345,1,1,1.9450226736068728,1,0
late_2013_2016,-43,-285,-428454.7050380935,-2842310.948852092,1,1,2.197022673606873,1,0
late_2013_2016,-52,-284,-512370.42688606866,-2832380.518360436,1,1,2.6825414476394656,1,0
late_2013_2016,-26,-283,-256872.22421072505,-2826784.3745671213,1,1,1.8876966848373413,1,0
late_2013_2016,-48,-283,-478020.052607341,-2825833.150224129,3,1,1.8820226736068726,1,0
late_2013_2016,-46,-283,-452391.26248622336,-2823082.344074309,2,1,2.02525515460968,1,0
late_2013_2016,-45,-282,-447470.81298037607,-2819675.711987078,1,1,2.2005217709541327,1,0
late_2013_2016,-52,-282,-511354.222093506,-2816381.9729815274,2,1,2.5605386075973513,1,0
