scenario,year,from_core,to_core,path_length_km,cost_raw
veg_high,2016,26,32,117.56854249492555,283196.6875
veg_high,2016,27,30,206.35533905933,458417.96875
veg_high,2016,27,31,309.63961030678183,689636.0625
veg_high,2016,27,32,439.99494936611364,979339.625
veg_high,2016,27,41,158.1959594928943,316062.8125
veg_high,2016,28,33,22.656854249499396,50239.43359375
veg_high,2016,28,38,35.556349186098664,84284.3125
veg_high,2016,30,36,30.99999999999907,82714.46875
veg_high,2016,30,40,136.68124086712865,313155.21875
veg_high,2016,30,41,171.66399692443326,414501.53125
veg_high,2016,31,32,64.31370849897533,138022.359375
veg_high,2016,33,38,39.69848480983016,88165.46875
veg_high,2016,36,40,63.84062043356528,163994.796875
veg_high,2016,36,41,145.88225099391272,352753.1875
veg_high,2016,36,43,113.81118318204135,322307.125
veg_high,2016,38,40,25.556349186110793,53116.3203125
veg_high,2016,38,42,29.698484809835655,76911.390625
veg_high,2016,40,42,21.41421356237139,56547.27734375
veg_high,2016,40,43,131.22539674441774,370314.59375
veg_high,2016,40,45,142.16652224136718,359335.84375
veg_high,2016,41,43,96.85281374238225,279079.96875
veg_high,2016,41,45,162.4091629284893,434402.40625
veg_high,2016,42,50,51.828427124746625,143312.9375
veg_high,2016,43,45,25.55634918610486,90378.0390625
veg_high,2016,43,49,147.48528137424105,388744.25
veg_high,2016,45,49,111.798989873224,309863.5
veg_high,2016,45,50,271.0487732352799,703223.375
veg_high,2016,45,53,271.74011537018873,770042.6875
veg_high,2016,49,53,125.55634918611042,379297.9375
veg_high,2016,50,53,259.90663761155537,789071.0
veg_high,2020,1,9,100.28427124747057,126198.8828125
veg_high,2020,1,13,235.79393923933023,277893.65625
veg_high,2020,1,17,243.1543289325611,391982.6875
veg_high,2020,9,13,26.798989873219607,40549.9140625
veg_high,2020,9,17,58.07106781186323,106109.84375
veg_high,2020,13,17,99.25483399593293,164796.875
veg_high,2020,17,24,31.41421356237216,62513.21484375
