density_value,cell_count,percent_positive_cells,cumulative_percent_at_or_above
26.0,8427,1.0684332308472535,67.84620748676662
25.0,38657,4.9012013059051,72.74740879267172
24.0,5894,0.7472820057688041,73.49469079844052
23.0,16274,2.063330058005008,75.55802085644552
22.0,2626,0.3329424070493518,75.89096326349488
21.0,4400,0.557862372816888,76.44882563631177
20.0,95232,12.074170338204064,88.52299597451584
19.0,2398,0.304034993185204,88.82703096770103
18.0,21799,2.7638276965989412,91.59085866429997
17.0,1988,0.25205236299090306,91.84291102729088
16.0,2760,0.3499318520396843,92.19284287933057
15.0,7934,1.0059272877111793,93.19877016704174
14.0,3379,0.4284129449427874,93.62718311198454
13.0,2488,0.3154458144473676,93.9426289264319
12.0,1836,0.2327807537481378,94.17540968018004
11.0,2208,0.27994548163174743,94.45535516181178
10.0,1586,0.20108402801990555,94.65643918983169
9.0,23204,2.9419632951916066,97.5984024850233
8.0,958,0.12146185299058607,97.71986433801388
7.0,1166,0.14783352879647532,97.86769786681036
6.0,1039,0.13173159212653332,97.99942945893689
5.0,10065,1.2761101778186312,99.27553963675552
4.0,1155,0.1464388728644331,99.42197850961996
3.0,1039,0.13173159212653332,99.55371010174649
2.0,2413,0.3059367967288979,99.85964689847539
1.0,1107,0.1403531015246125,100.0
