from_core,to_core,effective_resistance_2012,effective_resistance_2016,effective_resistance_2020,effective_resistance_2024,absolute_change_2012_2024,percent_change_2012_2024,direction,selected_neighbor_link
30,50,0.995396424,1.025086397,0.947575974,1.030721481,0.035325057,3.548843025,increase,no
30,53,1.408132485,1.413245516,1.332672693,1.397364021,-0.010768464,-0.764733758,decrease,no
31,32,0.443511253,0.425239337,0.412933242,0.420475886,-0.023035367,-5.193863118,decrease,yes
31,33,1.413295106,1.381472172,1.325123021,1.400812232,-0.012482874,-0.883246129,decrease,no
31,36,1.222907821,1.18966982,1.131922175,1.181787911,-0.04111991,-3.362470139,decrease,no
31,38,1.260297681,1.216096215,1.170485494,1.231958129,-0.028339552,-2.248639565,decrease,no
31,40,1.413511491,1.350525452,1.305994204,1.384390694,-0.029120797,-2.060174039,decrease,no
31,41,1.168071949,1.119483304,1.095311886,1.113717238,-0.054354712,-4.653370177,decrease,no
31,42,1.162435869,1.124837294,1.087279504,1.125930806,-0.036505062,-3.140393663,decrease,no
31,43,1.368593418,1.331325249,1.287854379,1.31025818,-0.058335238,-4.262422803,decrease,no
31,45,1.459855694,1.425472342,1.371459374,1.39987404,-0.059981655,-4.108738626,decrease,no
31,49,1.54517684,1.50660024,1.457904342,1.488128337,-0.057048503,-3.692037174,decrease,no
31,50,1.686006944,1.667966029,1.598788935,1.668919465,-0.017087479,-1.013488028,decrease,no
31,53,2.002226837,1.959848773,1.89556713,1.943423855,-0.058802982,-2.936879119,decrease,no
32,33,1.455050275,1.429068509,1.373726732,1.448466458,-0.006583818,-0.452480444,decrease,no
32,36,1.26643882,1.238857867,1.182086725,1.230957432,-0.035481388,-2.801666209,decrease,no
32,38,1.302241491,1.263854636,1.219252969,1.279702049,-0.022539442,-1.730818892,decrease,no
32,40,1.455479468,1.398245257,1.354748559,1.432046993,-0.023432475,-1.609948861,decrease,no
32,41,1.211594765,1.168681859,1.145391111,1.162475408,-0.049119357,-4.05410772,decrease,no
32,42,1.202667158,1.170839864,1.134385193,1.171763691,-0.030903467,-2.569577718,decrease,no
32,43,1.408845038,1.377268456,1.334894244,1.355967846,-0.052877192,-3.753229834,decrease,no
32,45,1.499234534,1.470542344,1.417650897,1.444726249,-0.054508285,-3.635741036,decrease,no
32,49,1.581390702,1.548475718,1.501092976,1.52979719,-0.051593512,-3.262540501,decrease,no
32,50,1.725942005,1.713631073,1.64556047,1.714434549,-0.011507456,-0.666734801,decrease,no
32,53,2.039249642,2.002528112,1.939529143,1.985918128,-0.053331514,-2.615251862,decrease,no
33,36,0.626652774,0.63146267,0.583344145,0.653613053,0.026960279,4.302267507,increase,no
33,38,0.226317086,0.23411524,0.221877271,0.256008601,0.029691515,13.11943158,increase,yes
33,40,0.660056527,0.637704007,0.611062184,0.701613743,0.041557216,6.296008621,increase,no
33,41,0.914241782,0.905309054,0.862933124,0.91575191,0.001510128,0.165178192,increase,no
33,42,0.203533104,0.210163012,0.200438378,0.228628084,0.02509498,12.32967997,increase,no
33,43,0.876484793,0.883800192,0.832720177,0.885933932,0.009449139,1.078072231,increase,no
33,45,0.898188764,0.909101184,0.854130402,0.911596872,0.013408107,1.492793925,increase,no
33,49,1.047137824,1.054850654,0.999427119,1.058109997,0.010972173,1.047825095,increase,no
33,50,0.871713093,0.9066509,0.851741705,0.924577521,0.052864428,6.064429783,increase,no
33,53,1.402655653,1.4114599,1.346320331,1.415073094,0.012417441,0.885280752,increase,no
36,38,0.38435455,0.37095453,0.343833093,0.38973315,0.0053786,1.39938514,increase,no
36,40,0.451162933,0.426165246,0.404920584,0.45643907,0.005276137,1.16945273,increase,yes
36,41,0.615049609,0.608168388,0.569722002,0.587744129,-0.02730548,-4.439557318,decrease,yes
36,42,0.365414457,0.36023544,0.334464606,0.365471129,5.67E-05,0.015509067,increase,no
36,43,0.613959998,0.616864223,0.574257158,0.591375564,-0.022584434,-3.678486222,decrease,yes
36,45,0.713420293,0.715822792,0.666592882,0.689496367,-0.023923925,-3.35341249,decrease,no
36,49,0.912884589,0.909838536,0.856979524,0.887491717,-0.025392872,-2.781608126,decrease,no
36,50,0.928315602,0.944971966,0.883503179,0.950005646,0.021690043,2.336494542,increase,no
36,53,1.335712327,1.329319096,1.263898025,1.311348587,-0.024363741,-1.824026061,decrease,no
38,40,0.314572019,0.27872503,0.276870866,0.329618767,0.015046748,4.783244402,increase,yes
38,41,0.72562706,0.704026007,0.674494812,0.709510697,-0.016116363,-2.221025593,decrease,no
38,42,0.125521557,0.126134166,0.118721615,0.133901442,0.008379886,6.676053234,increase,yes
38,43,0.66697057,0.65978734,0.624178997,0.656649496,-0.010321074,-1.547455743,decrease,no
38,45,0.691714044,0.687739331,0.648647347,0.684622752,-0.007091292,-1.025176823,decrease,no
38,49,0.861300556,0.854991605,0.813094852,0.852146766,-0.009153789,-1.062786883,decrease,no
38,50,0.714894809,0.738680954,0.693999992,0.748456098,0.033561289,4.694577271,increase,no
38,53,1.228888987,1.224170844,1.171345339,1.221027259,-0.007861727,-0.639742664,decrease,no
40,41,0.832824608,0.796720992,0.769827171,0.816062195,-0.016762413,-2.012718259,decrease,no
40,42,0.270509805,0.246656939,0.245276582,0.275987908,0.005478103,2.025103385,increase,yes
40,43,0.726611723,0.706847195,0.67615528,0.71529811,-0.011313613,-1.557036914,decrease,yes
40,45,0.759405248,0.739917785,0.707397764,0.750111275,-0.009293974,-1.223849014,decrease,yes
40,49,0.975260989,0.948667425,0.911573572,0.963315913,-0.011945076,-1.224808094,decrease,no
40,50,0.920960429,0.914279941,0.873917267,0.95586725,0.034906821,3.790262842,increase,no
40,53,1.373447165,1.344069833,1.295957062,1.362763712,-0.010683453,-0.777856857,decrease,no
41,42,0.592456781,0.57928639,0.559723177,0.567384534,-0.025072246,-4.231911456,decrease,no
41,43,0.6591872,0.649311076,0.632222608,0.62195496,-0.037232241,-5.648204417,decrease,yes
41,45,0.817574453,0.809650125,0.777889413,0.772588402,-0.04498605,-5.50237966,decrease,yes
41,49,0.953321068,0.939873919,0.910077103,0.909965484,-0.043355584,-4.547847075,decrease,no
41,50,1.134226379,1.138760416,1.086858172,1.128426357,-0.005800022,-0.511363665,decrease,no
41,53,1.434114804,1.415324678,1.36881236,1.387208468,-0.046906336,-3.270751806,decrease,no
42,43,0.413962923,0.415685226,0.390721048,0.391063627,-0.022899297,-5.531726511,decrease,no
42,45,0.302211561,0.30674376,0.281201681,0.285362571,-0.01684899,-5.575230163,decrease,no
42,49,0.259398379,0.256745294,0.246645937,0.245024382,-0.014373997,-5.541282379,decrease,no
42,50,0.290376463,0.295237044,0.279879049,0.292169076,0.001792613,0.617341068,increase,yes
42,53,0.763214066,0.753593576,0.72569065,0.735939486,-0.02727458,-3.573647487,decrease,no
43,45,0.419229457,0.426348614,0.39983857,0.384670401,-0.034559056,-8.243470412,decrease,yes
43,49,0.791949039,0.788072038,0.751212243,0.74817539,-0.043773649,-5.527331493,decrease,yes
43,50,1.00670241,1.023464914,0.965710434,1.00222739,-0.00447502,-0.444522607,decrease,no
43,53,1.299042792,1.290453454,1.236690178,1.250904097,-0.048138695,-3.705705119,decrease,no
45,49,0.713102326,0.710275513,0.668224525,0.67106865,-0.042033676,-5.894480269,decrease,yes
45,50,0.954631355,0.972424269,0.913484678,0.952156631,-0.002474724,-0.259233501,decrease,yes
45,53,1.232855845,1.22502707,1.167515406,1.18574233,-0.047113515,-3.821494263,decrease,yes
49,50,0.999698803,1.011669841,0.956765287,0.991276589,-0.008422214,-0.842475184,decrease,no
49,53,0.939074281,0.923671056,0.892767416,0.904433581,-0.0346407,-3.688813627,decrease,yes
50,53,1.19841291,1.206397593,1.148446792,1.183540278,-0.014872631,-1.2410273,decrease,yes
